Guardians of Middle-earth,X360,75,Battle,12
Ratchet & Clank: Full Frontal Assault,PS3,64,Action,12
Page Chronica,PS3,41,Puzzle,12
Hitman: Absolution,PC,90,Action,11
Batman: Arkham City -- Armored Edition,WiiU,95,Action,11
Disney Epic Mickey 2: The Power of Two,PS3,60,Action Adventure,11
Disney Epic Mickey 2: The Power of Two,X360,60,Action Adventure,11
Darksiders II,WiiU,75,Action,11
Scribblenauts Unlimited,WiiU,88,Puzzle Action,11
Call of Duty: Black Ops Declassified,PSV,40,Shooter,11
Fallen Enchantress,PC,79,Strategy,11
Guns of Icarus Online,PC,73,Shooter,11
Miner Wars 2081,PC,50,Shooter,12
Guardians of Middle-earth,PS3,75,Battle,12
The Elder Scrolls V: Skyrim -- Dragonborn,X360,88,RPG,12
Baldur's Gate -- Enhanced Edition,iPad,60,RPG,12
Black Knight Sword,X360,69,Puzzle Adventure,12
Black Knight Sword,PS3,69,Puzzle Adventure,12
The Walking Dead: A Telltale Game Series -- Season One,X360,93,Adventure,12
Sonic & All-Stars Racing Transformed,X360,86,Racing Action,11
New Super Mario Bros. U,WiiU,91,Platform,11
Sonic & All-Stars Racing Transformed,PS3,86,Racing Action,11
Nintendo Land,WiiU,87,Party,11
ARC Squadron,iPhone,73,Flight Action,11
Ninja Gaiden III: Razor's Edge,WiiU,76,Action,11
The Walking Dead: A Telltale Game Series -- Season One,PS3,93,Adventure,12
The Walking Dead -- Game of the Year Edition,PC,93,Adventure,12
The Walking Dead: A Telltale Game Series -- Season One,iPhone,93,Adventure,12
Real Boxing,iPhone,76,Sports,11
Baldur's Gate -- Enhanced Edition,PC,81,RPG,11
Crashmo,3DS,95,Puzzle Action,11
PlanetSide 2,PC,90,Shooter,11
Disney Epic Mickey 2: The Power of Two,WiiU,60,Action Adventure,11
The Walking Dead: A Telltale Game Series -- Season One,PC,93,Adventure,12
The Walking Dead: A Telltale Game Series -- Season One,Macintosh,93,Adventure,12
Strike Suit Zero,PC,75,Shooter,1
Final Fantasy: All The Bravest,iPhone,25,RPG,1
Tokyo Crash Mobs,3DS,77,Puzzle Action,1
Ni no Kuni: Wrath of the White Witch,PS3,94,RPG,1
Marvel's The Avengers: Battle For Earth,WiiU,50,Action,1
Borderlands 2: Sir Hammerlock's Big Game Hunt,X360,69,Shooter RPG,1
Assassin's Creed III,PC,86,Action Adventure,11
