World Soccer Winning Eleven 6 International,PS2,2002,Sports,Konami Digital Entertainment,2.99,93,91
Devil May Cry,PS2,2001,Action,Capcom,2.99,94,85
Star Wars: The Old Republic,PC,2011,Role-Playing,Electronic Arts,2.96,85,59
Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,2.96,84,81
Sonic Heroes,PS2,2003,Platform,Sega,2.96,64,78
Hitman 2: Silent Assassin,PS2,2002,Action,Eidos Interactive,2.96,85,78
Titanfall,XOne,2014,Shooter,Electronic Arts,2.95,86,64
Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,2.95,88,85
SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,Sony Computer Entertainment,2.94,87,90
Pac-Man Collection,GBA,2001,Puzzle,Atari,2.94,79,78
Street Fighter IV,X360,2009,Fighting,Capcom,2.94,93,73
inFAMOUS,PS3,2009,Action,Sony Computer Entertainment,2.93,85,83
Kirby Super Star Ultra,DS,2008,Platform,Nintendo,2.92,76,88
Call of Duty: Ghosts,XOne,2013,Shooter,Activision,2.92,78,43
FIFA 15,X360,2014,Sports,Electronic Arts,2.92,50,42
Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,2.91,91,87
Sonic Mega Collection Plus,PS2,2004,Misc,Sega,2.9,73,86
World Soccer Winning Eleven 7 International,PS2,2003,Sports,Konami Digital Entertainment,2.9,93,90
Sega Superstars Tennis,X360,2008,Sports,Sega,2.89,67,68
Hot Shots Golf 3,PS2,2001,Sports,Sony Computer Entertainment,2.89,85,89
Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,2.89,61,53
Call of Duty: Finest Hour,PS2,2004,Shooter,Activision,2.89,76,77
WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,2.89,83,74
Imagine: Babyz,DS,2007,Simulation,Ubisoft,2.87,50,77
Madden NFL 13,X360,2012,Sports,Electronic Arts,2.86,81,58
